pokedex_number|pokedex_number_form|name|hp|attack|defense|sp_attack|sp_defense|speed|base_total|base_average|ability_1|ability_2|hidden_ability|type_1|type_2|japanese_name|catch_rate|base_friendship_old|base_friendship|exp_100|category|height_m|weight_kg|hatch_cycles|percentage_male|gen|starter|legendary|mythical|pseudo-legendary|ultra_beast|mega_evolution|fossil
208|208|Steelix|75|85|200|55|65|30|510|85.0|Rock Head|Sturdy|Sheer Force|Steel|Ground|Haganeilハガネール|25.0|70.0|50|1000000.0|Iron Snake Pokémon|9.2|400.0|25|50|2|False|False|False|False|False|False|False
208|208M|Steelix (Mega Steelix)|75|125|230|55|95|30|610|101.67|Sand Force|||Steel|Ground|MegaHaganeilメガハガネール|25.0|70.0|50|1000000.0|Iron Snake Pokémon|10.5|740.0|25|50|2|False|False|False|False|False|True|False
209|209|Snubbull|60|80|50|40|40|30|300|50.0|Intimidate|Run Away|Rattled|Fairy||Buluブルー|190.0|70.0|50|800000.0|Fairy Pokémon|0.6|7.8|20|25.0|2|False|False|False|False|False|False|False
210|210|Granbull|90|120|75|60|60|45|450|75.0|Intimidate|Quick Feet|Rattled|Fairy||Granbuluグランブル|75.0|70.0|50|800000.0|Fairy Pokémon|1.4|48.7|20|25.0|2|False|False|False|False|False|False|False
211|211|Qwilfish|65|95|85|55|55|85|440|73.33|Poison Point|Swift Swim|Intimidate|Water|Poison|Harysenハリーセン|45.0|70.0|50|1000000.0|Balloon Pokémon|0.5|3.9|20|50|2|False|False|False|False|False|False|False
212|212|Scizor|70|130|100|55|80|65|500|83.33|Swarm|Technician|Light Metal|Bug|Steel|Hassamハッサム|25.0|70.0|50|1000000.0|Pincer Pokémon|1.8|118.0|25|50|2|False|False|False|False|False|False|False
212|212M|Scizor (Mega Scizor)|70|150|140|65|100|75|600|100.0|Technician|||Bug|Steel|MegaHassamメガハッサム|25.0|70.0|50|1000000.0|Pincer Pokémon|2.0|125.0|25|50|2|False|False|False|False|False|True|False
213|213|Shuckle|20|10|230|10|230|5|505|84.17|Sturdy|Gluttony|Contrary|Bug|Rock|Tsubotsuboツボツボ|190.0|70.0|50|1059860.0|Mold Pokémon|0.6|20.5|20|50|2|False|False|False|False|False|False|False
214|214|Heracross|80|125|75|40|95|85|500|83.33|Swarm|Guts|Moxie|Bug|Fighting|Heracrosヘラクロス|45.0|70.0|50|1250000.0|Single Horn Pokémon|1.5|54.0|25|50|2|False|False|False|False|False|False|False
214|214M|Heracross (Mega Heracross)|80|185|115|40|105|75|600|100.0|Skill Link|||Bug|Fighting|MegaHeracrosメガヘラクロス|45.0|70.0|50|1250000.0|Single Horn Pokémon|1.7|62.5|25|50|2|False|False|False|False|False|True|False
215|215|Sneasel|55|95|55|35|75|115|430|71.67|Inner Focus|Keen Eye|Pickpocket|Dark|Ice|Nyulaニューラ|60.0|35.0|35|1059860.0|Sharp Claw Pokémon|0.9|28.0|20|50|2|False|False|False|False|False|False|False
216|216|Teddiursa|60|80|50|50|50|40|330|55.0|Pickup|Quick Feet|Honey Gather|Normal||Himegumaヒメグマ|120.0|70.0|50|1000000.0|Little Bear Pokémon|0.6|8.8|20|50|2|False|False|False|False|False|False|False
217|217|Ursaring|90|130|75|75|75|55|500|83.33|Guts|Quick Feet|Unnerve|Normal||Ringumaリングマ|60.0|70.0|50|1000000.0|Hibernator Pokémon|1.8|125.8|20|50|2|False|False|False|False|False|False|False
218|218|Slugma|40|40|40|70|40|20|250|41.67|Magma Armor|Flame Body|Weak Armor|Fire||Magmagマグマッグ|190.0|70.0|50|1000000.0|Lava Pokémon|0.7|35.0|20|50|2|False|False|False|False|False|False|False
219|219|Magcargo|60|50|120|90|80|30|430|71.67|Magma Armor|Flame Body|Weak Armor|Fire|Rock|Magcargotマグカルゴ|75.0|70.0|50|1000000.0|Lava Pokémon|0.8|55.0|20|50|2|False|False|False|False|False|False|False
220|220|Swinub|50|50|40|30|30|50|250|41.67|Oblivious|Snow Cloak|Thick Fat|Ice|Ground|Urimooウリムー|225.0|70.0|50|1250000.0|Pig Pokémon|0.4|6.5|20|50|2|False|False|False|False|False|False|False
221|221|Piloswine|100|100|80|60|60|50|450|75.0|Oblivious|Snow Cloak|Thick Fat|Ice|Ground|Inomooイノムー|75.0|70.0|50|1250000.0|Swine Pokémon|1.1|55.8|20|50|2|False|False|False|False|False|False|False
222|222|Corsola|65|55|95|65|95|35|410|68.33|Hustle|Natural Cure|Regenerator|Water|Rock|Sunnygoサニーゴ|60.0|70.0|50|800000.0|Coral Pokémon|0.6|5.0|20|25.0|2|False|False|False|False|False|False|False
222|222G|Corsola (Galarian Corsola)|60|55|100|65|100|30|410|68.33|Weak Armor||Cursed Body|Ghost||Sunnygoサニーゴ|60.0|70.0|50|800000.0|Coral Pokémon|0.6|0.5|20|25.0|2|False|False|False|False|False|False|False
223|223|Remoraid|35|65|35|65|35|65|300|50.0|Hustle|Sniper|Moody|Water||Teppouoテッポウオ|190.0|70.0|50|1000000.0|Jet Pokémon|0.6|12.0|20|50|2|False|False|False|False|False|False|False
224|224|Octillery|75|105|75|105|75|45|480|80.0|Suction Cups|Sniper|Moody|Water||Okutankオクタン|75.0|70.0|50|1000000.0|Jet Pokémon|0.9|28.5|20|50|2|False|False|False|False|False|False|False
225|225|Delibird|45|55|45|65|45|75|330|55.0|Vital Spirit|Hustle|Insomnia|Ice|Flying|Delibirdデリバード|45.0|70.0|50|800000.0|Delivery Pokémon|0.9|16.0|20|50|2|False|False|False|False|False|False|False
226|226|Mantine|85|40|70|80|140|70|485|80.83|Swift Swim|Water Absorb|Water Veil|Water|Flying|Mantainマンタイン|25.0|70.0|50|1250000.0|Kite Pokémon|2.1|220.0|25|50|2|False|False|False|False|False|False|False
227|227|Skarmory|65|80|140|40|70|70|465|77.5|Keen Eye|Sturdy|Weak Armor|Steel|Flying|Airmdエアームド|25.0|70.0|50|1250000.0|Armor Bird Pokémon|1.7|50.5|25|50|2|False|False|False|False|False|False|False
228|228|Houndour|45|60|30|80|50|65|330|55.0|Early Bird|Flash Fire|Unnerve|Dark|Fire|Delvilデルビル|120.0|35.0|35|1250000.0|Dark Pokémon|0.6|10.8|20|50|2|False|False|False|False|False|False|False
229|229|Houndoom|75|90|50|110|80|95|500|83.33|Early Bird|Flash Fire|Unnerve|Dark|Fire|Hellgarヘルガー|45.0|35.0|35|1250000.0|Dark Pokémon|1.4|35.0|20|50|2|False|False|False|False|False|False|False
229|229M|Houndoom (Mega Houndoom)|75|90|90|140|90|115|600|100.0|Solar Power|||Dark|Fire|MegaHellgarメガヘルガー |45.0|35.0|35|1250000.0|Dark Pokémon|1.9|49.5|20|50|2|False|False|False|False|False|True|False
230|230|Kingdra|75|95|95|95|95|85|540|90.0|Swift Swim|Sniper|Damp|Water|Dragon|Kingdraキングドラ|45.0|70.0|50|1000000.0|Dragon Pokémon|1.8|152.0|20|50|2|False|False|False|False|False|False|False
231|231|Phanpy|90|60|60|40|40|40|330|55.0|Pickup||Sand Veil|Ground||Gomazouゴマゾウ|120.0|70.0|50|1000000.0|Long Nose Pokémon|0.5|33.5|20|50|2|False|False|False|False|False|False|False
232|232|Donphan|90|120|120|60|60|50|500|83.33|Sturdy||Sand Veil|Ground||Donfanドンファン|60.0|70.0|50|1000000.0|Armor Pokémon|1.1|120.0|20|50|2|False|False|False|False|False|False|False
233|233|Porygon2|85|80|90|105|95|60|515|85.83|Trace|Download|Analytic|Normal||Porygon2ポリゴン２|45.0|70.0|50|1000000.0|Virtual Pokémon|0.6|32.5|20||2|False|False|False|False|False|False|False
234|234|Stantler|73|95|62|85|65|85|465|77.5|Intimidate|Frisk|Sap Sipper|Normal||Odoshishiオドシシ|45.0|70.0|50|1250000.0|Big Horn Pokémon|1.4|71.2|20|50|2|False|False|False|False|False|False|False
235|235|Smeargle|55|20|35|20|45|75|250|41.67|Own Tempo|Technician|Moody|Normal||Dobleドーブル|45.0|70.0|50|800000.0|Painter Pokémon|1.2|58.0|20|50|2|False|False|False|False|False|False|False
236|236|Tyrogue|35|35|35|35|35|35|210|35.0|Guts|Steadfast|Vital Spirit|Fighting||Balkieバルキー|75.0|70.0|50|1000000.0|Scuffle Pokémon|0.7|21.0|25|100|2|False|False|False|False|False|False|False
237|237|Hitmontop|50|95|95|35|110|70|455|75.83|Intimidate|Technician|Steadfast|Fighting||Kapoererカポエラー|45.0|70.0|50|1000000.0|Handstand Pokémon|1.4|48.0|25|100|2|False|False|False|False|False|False|False
238|238|Smoochum|45|30|15|85|65|65|305|50.83|Oblivious|Forewarn|Hydration|Ice|Psychic|Muchulムチュール|45.0|70.0|50|1000000.0|Kiss Pokémon|0.4|6.0|25|0|2|False|False|False|False|False|False|False
239|239|Elekid|45|63|37|65|55|95|360|60.0|Static||Vital Spirit|Electric||Elekidエレキッド|45.0|70.0|50|1000000.0|Electric Pokémon|0.6|23.5|25|75.0|2|False|False|False|False|False|False|False
240|240|Magby|45|75|37|70|55|83|365|60.83|Flame Body||Vital Spirit|Fire||Bubyブビィ|45.0|70.0|50|1000000.0|Live Coal Pokémon|0.7|21.4|25|75.0|2|False|False|False|False|False|False|False
241|241|Miltank|95|80|105|40|70|100|490|81.67|Thick Fat|Scrappy|Sap Sipper|Normal||Miltankミルタンク|45.0|70.0|50|1250000.0|Milk Cow Pokémon|1.2|75.5|20|0|2|False|False|False|False|False|False|False
242|242|Blissey|255|10|10|75|135|55|540|90.0|Natural Cure|Serene Grace|Healer|Normal||Happinasハピナス|30.0|140.0|140|800000.0|Happiness Pokémon|1.5|46.8|40|0|2|False|False|False|False|False|False|False
243|243|Raikou|90|85|75|115|100|115|580|96.67|Pressure||Inner Focus|Electric||Raikouライコウ|3.0|35.0|35|1250000.0|Thunder Pokémon|1.9|178.0|80||2|False|True|False|False|False|False|False
244|244|Entei|115|115|85|90|75|100|580|96.67|Pressure||Inner Focus|Fire||Enteiエンテイ|3.0|35.0|35|1250000.0|Volcano Pokémon|2.1|198.0|80||2|False|True|False|False|False|False|False
245|245|Suicune|100|75|115|90|115|85|580|96.67|Pressure||Inner Focus|Water||Suicuneスイクン|3.0|35.0|35|1250000.0|Aurora Pokémon|2.0|187.0|80||2|False|True|False|False|False|False|False
246|246|Larvitar|50|64|50|45|50|41|300|50.0|Guts||Sand Veil|Rock|Ground|Yogirasヨーギラス|45.0|35.0|35|1250000.0|Rock Skin Pokémon|0.6|72.0|40|50|2|False|False|False|False|False|False|False
247|247|Pupitar|70|84|70|65|70|51|410|68.33|Shed Skin|||Rock|Ground|Sanagirasサナギラス|45.0|35.0|35|1250000.0|Hard Shell Pokémon|1.2|152.0|40|50|2|False|False|False|False|False|False|False
248|248|Tyranitar|100|134|110|95|100|61|600|100.0|Sand Stream||Unnerve|Rock|Dark|Bangirasバンギラス|45.0|35.0|35|1250000.0|Armor Pokémon|2.0|202.0|40|50|2|False|False|False|True|False|False|False
248|248M|Tyranitar (Mega Tyranitar)|100|164|150|95|120|71|700|116.67|Sand Stream|||Rock|Dark|MegaBangirasメガバンギラス|45.0|35.0|35|1250000.0|Armor Pokémon|2.5|255.0|40|50|2|False|False|False|True|False|True|False
249|249|Lugia|106|90|130|90|154|110|680|113.33|Pressure||Multiscale|Psychic|Flying|Lugiaルギア|3.0|0.0|0|1250000.0|Diving Pokémon|5.2|216.0|120||2|False|True|False|False|False|False|False
250|250|Ho-Oh|106|130|90|110|154|90|680|113.33|Pressure||Regenerator|Fire|Flying|Hououホウオウ|3.0|0.0|0|1250000.0|Rainbow Pokémon|3.8|199.0|120||2|False|True|False|False|False|False|False
251|251|Celebi|100|100|100|100|100|100|600|100.0|Natural Cure|||Psychic|Grass|Celebiセレビィ|45.0|100.0|100|1059860.0|Time Travel Pokémon|0.6|5.0|120||2|False|False|True|False|False|False|False
252|252|Treecko|40|45|35|65|55|70|310|51.67|Overgrow||Unburden|Grass||Kimoriキモリ|45.0|70.0|50|1059860.0|Wood Gecko Pokémon|0.5|5.0|20|87.5|3|True|False|False|False|False|False|False
253|253|Grovyle|50|65|45|85|65|95|405|67.5|Overgrow||Unburden|Grass||Juptileジュプトル|45.0|70.0|50|1059860.0|Wood Gecko Pokémon|0.9|21.6|20|87.5|3|True|False|False|False|False|False|False
254|254|Sceptile|70|85|65|105|85|120|530|88.33|Overgrow||Unburden|Grass||Jukainジュカイン|45.0|70.0|50|1059860.0|Forest Pokémon|1.7|52.2|20|87.5|3|True|False|False|False|False|False|False
254|254M|Sceptile (Mega Sceptile)|70|110|75|145|85|145|630|105.0|Lightning Rod|||Grass|Dragon|MegaJukainメガジュカイン|45.0|70.0|50|1059860.0|Forest Pokémon|1.9|55.2|20|87.5|3|True|False|False|False|False|True|False
255|255|Torchic|45|60|40|70|50|45|310|51.67|Blaze||Speed Boost|Fire||Achamoアチャモ|45.0|70.0|50|1059860.0|Chick Pokémon|0.4|2.5|20|87.5|3|True|False|False|False|False|False|False
256|256|Combusken|60|85|60|85|60|55|405|67.5|Blaze||Speed Boost|Fire|Fighting|Wakasyamoワカシャモ|45.0|70.0|50|1059860.0|Young Fowl Pokémon|0.9|19.5|20|87.5|3|True|False|False|False|False|False|False
257|257|Blaziken|80|120|70|110|70|80|530|88.33|Blaze||Speed Boost|Fire|Fighting|Bursyamoバシャーモ|45.0|70.0|50|1059860.0|Blaze Pokémon|1.9|52.0|20|87.5|3|True|False|False|False|False|False|False
257|257M|Blaziken (Mega Blaziken)|80|160|80|130|80|100|630|105.0|Speed Boost|||Fire|Fighting|MegaBursyamoメガバシャーモ|45.0|70.0|50|1059860.0|Blaze Pokémon|1.9|52.0|20|87.5|3|True|False|False|False|False|True|False
258|258|Mudkip|50|70|50|50|50|40|310|51.67|Torrent||Damp|Water||Mizugorouミズゴロウ|45.0|70.0|50|1059860.0|Mud Fish Pokémon|0.4|7.6|20|87.5|3|True|False|False|False|False|False|False
259|259|Marshtomp|70|85|70|60|70|50|405|67.5|Torrent||Damp|Water|Ground|Numacrawヌマクロー|45.0|70.0|50|1059860.0|Mud Fish Pokémon|0.7|28.0|20|87.5|3|True|False|False|False|False|False|False
260|260|Swampert|100|110|90|85|90|60|535|89.17|Torrent||Damp|Water|Ground|Laglargeラグラージ|45.0|70.0|50|1059860.0|Mud Fish Pokémon|1.5|81.9|20|87.5|3|True|False|False|False|False|False|False
260|260M|Swampert (Mega Swampert)|100|150|110|95|110|70|635|105.83|Swift Swim|||Water|Ground|MegaLaglargeメガラグラージ|45.0|70.0|50|1059860.0|Mud Fish Pokémon|1.9|102.0|20|87.5|3|True|False|False|False|False|True|False
261|261|Poochyena|35|55|35|30|30|35|220|36.67|Run Away|Quick Feet|Rattled|Dark||Pochienaポチエナ|255.0|70.0|50|1000000.0|Bite Pokémon|0.5|13.6|15|50|3|False|False|False|False|False|False|False
262|262|Mightyena|70|90|70|60|60|70|420|70.0|Intimidate|Quick Feet|Moxie|Dark||Graenaグラエナ|127.0|70.0|50|1000000.0|Bite Pokémon|1.0|37.0|15|50|3|False|False|False|False|False|False|False
263|263|Zigzagoon|38|30|41|30|41|60|240|40.0|Pickup|Gluttony|Quick Feet|Normal||Jiguzagumaジグザグマ|255.0|70.0|50|1000000.0|Tiny Raccoon Pokémon|0.4|17.5|15|50|3|False|False|False|False|False|False|False
263|263G|Zigzagoon (Galarian Zigzagoon)|38|30|41|30|41|60|240|40.0|Pickup|Gluttony|Quick Feet|Dark|Normal|Jiguzagumaジグザグマ|255.0|70.0|50|1000000.0|Tiny Raccoon Pokémon|0.4|17.5|15|50|3|False|False|False|False|False|False|False
264|264|Linoone|78|70|61|50|61|100|420|70.0|Pickup|Gluttony|Quick Feet|Normal||Massugumaマッスグマ|90.0|70.0|50|1000000.0|Rushing Pokémon|0.5|32.5|15|50|3|False|False|False|False|False|False|False
264|264G|Linoone (Galarian Linoone)|78|70|61|50|61|100|420|70.0|Pickup|Gluttony|Quick Feet|Dark|Normal|Massugumaマッスグマ|90.0|70.0|50|1000000.0|Rushing Pokémon|0.5|32.5|15|50|3|False|False|False|False|False|False|False
265|265|Wurmple|45|45|35|20|30|20|195|32.5|Shield Dust||Run Away|Bug||Kemussoケムッソ|255.0|70.0|50|1000000.0|Worm Pokémon|0.3|3.6|15|50|3|False|False|False|False|False|False|False
266|266|Silcoon|50|35|55|25|25|15|205|34.17|Shed Skin|||Bug||Karasalisカラサリス|120.0|70.0|50|1000000.0|Cocoon Pokémon|0.6|10.0|15|50|3|False|False|False|False|False|False|False
267|267|Beautifly|60|70|50|100|50|65|395|65.83|Swarm||Rivalry|Bug|Flying|Agehuntアゲハント|45.0|70.0|50|1000000.0|Butterfly Pokémon|1.0|28.4|15|50|3|False|False|False|False|False|False|False
268|268|Cascoon|50|35|55|25|25|15|205|34.17|Shed Skin|||Bug||Mayuldマユルド|120.0|70.0|50|1000000.0|Cocoon Pokémon|0.7|11.5|15|50|3|False|False|False|False|False|False|False
269|269|Dustox|60|50|70|50|90|65|385|64.17|Shield Dust||Compound Eyes|Bug|Poison|Dokucaleドクケイル|45.0|70.0|50|1000000.0|Poison Moth Pokémon|1.2|31.6|15|50|3|False|False|False|False|False|False|False
270|270|Lotad|40|30|30|40|50|30|220|36.67|Swift Swim|Rain Dish|Own Tempo|Water|Grass|Hassbohハスボー|255.0|70.0|50|1059860.0|Water Weed Pokémon|0.5|2.6|15|50|3|False|False|False|False|False|False|False
271|271|Lombre|60|50|50|60|70|50|340|56.67|Swift Swim|Rain Dish|Own Tempo|Water|Grass|Hasubreroハスブレロ|120.0|70.0|50|1059860.0|Jolly Pokémon|1.2|32.5|15|50|3|False|False|False|False|False|False|False
272|272|Ludicolo|80|70|70|90|100|70|480|80.0|Swift Swim|Rain Dish|Own Tempo|Water|Grass|Runpappaルンパッパ|45.0|70.0|50|1059860.0|Carefree Pokémon|1.5|55.0|15|50|3|False|False|False|False|False|False|False
273|273|Seedot|40|40|50|30|30|30|220|36.67|Chlorophyll|Early Bird|Pickpocket|Grass||Tanebohタネボー|255.0|70.0|50|1059860.0|Acorn Pokémon|0.5|4.0|15|50|3|False|False|False|False|False|False|False
274|274|Nuzleaf|70|70|40|60|40|60|340|56.67|Chlorophyll|Early Bird|Pickpocket|Grass|Dark|Konohanaコノハナ|120.0|70.0|50|1059860.0|Wily Pokémon|1.0|28.0|15|50|3|False|False|False|False|False|False|False
275|275|Shiftry|90|100|60|90|60|80|480|80.0|Chlorophyll|Early Bird|Pickpocket|Grass|Dark|Dirtengダーテング|45.0|70.0|50|1059860.0|Wicked Pokémon|1.3|59.6|15|50|3|False|False|False|False|False|False|False
276|276|Taillow|40|55|30|30|30|85|270|45.0|Guts||Scrappy|Normal|Flying|Subameスバメ|200.0|70.0|50|1059860.0|Tiny Swallow Pokémon|0.3|2.3|15|50|3|False|False|False|False|False|False|False
277|277|Swellow|60|85|60|75|50|125|455|75.83|Guts||Scrappy|Normal|Flying|Ohsubameオオスバメ|45.0|70.0|50|1059860.0|Swallow Pokémon|0.7|19.8|15|50|3|False|False|False|False|False|False|False
278|278|Wingull|40|30|30|55|30|85|270|45.0|Keen Eye|Hydration|Rain Dish|Water|Flying|Camomeキャモメ|190.0|70.0|50|1000000.0|Seagull Pokémon|0.6|9.5|20|50|3|False|False|False|False|False|False|False
279|279|Pelipper|60|50|100|95|70|65|440|73.33|Keen Eye|Drizzle|Rain Dish|Water|Flying|Pelipperペリッパー|45.0|70.0|50|1000000.0|Water Bird Pokémon|1.2|28.0|20|50|3|False|False|False|False|False|False|False
280|280|Ralts|28|25|25|45|35|40|198|33.0|Synchronize|Trace|Telepathy|Psychic|Fairy|Raltsラルトス|235.0|35.0|35|1250000.0|Feeling Pokémon|0.4|6.6|20|50|3|False|False|False|False|False|False|False
281|281|Kirlia|38|35|35|65|55|50|278|46.33|Synchronize|Trace|Telepathy|Psychic|Fairy|Kirliaキルリア|120.0|35.0|35|1250000.0|Emotion Pokémon|0.8|20.2|20|50|3|False|False|False|False|False|False|False
282|282|Gardevoir|68|65|65|125|115|80|518|86.33|Synchronize|Trace|Telepathy|Psychic|Fairy|Sirnightサーナイト|45.0|35.0|35|1250000.0|Embrace Pokémon|1.6|48.4|20|50|3|False|False|False|False|False|False|False
282|282M|Gardevoir (Mega Gardevoir)|68|85|65|165|135|100|618|103.0|Pixilate|||Psychic|Fairy|MegaSirnightメガサーナイト|45.0|35.0|35|1250000.0|Embrace Pokémon|1.6|48.4|20|50|3|False|False|False|False|False|True|False
283|283|Surskit|40|30|32|50|52|65|269|44.83|Swift Swim||Rain Dish|Bug|Water|Ametamaアメタマ|200.0|70.0|50|1000000.0|Pond Skater Pokémon|0.5|1.7|15|50|3|False|False|False|False|False|False|False
284|284|Masquerain|70|60|62|100|82|80|454|75.67|Intimidate||Unnerve|Bug|Flying|Amemothアメモース|75.0|70.0|50|1000000.0|Eyeball Pokémon|0.8|3.6|15|50|3|False|False|False|False|False|False|False
285|285|Shroomish|60|40|60|40|60|35|295|49.17|Effect Spore|Poison Heal|Quick Feet|Grass||Kinococoキノココ|255.0|70.0|50|1640000.0|Mushroom Pokémon|0.4|4.5|15|50|3|False|False|False|False|False|False|False
286|286|Breloom|60|130|80|60|60|70|460|76.67|Effect Spore|Poison Heal|Technician|Grass|Fighting|Kinogassaキノガッサ|90.0|70.0|50|1640000.0|Mushroom Pokémon|1.2|39.2|15|50|3|False|False|False|False|False|False|False
287|287|Slakoth|60|60|60|35|35|30|280|46.67|Truant|||Normal||Namakeroナマケロ|255.0|70.0|50|1250000.0|Slacker Pokémon|0.8|24.0|15|50|3|False|False|False|False|False|False|False
288|288|Vigoroth|80|80|80|55|55|90|440|73.33|Vital Spirit|||Normal||Yarukimonoヤルキモノ|120.0|70.0|50|1250000.0|Wild Monkey Pokémon|1.4|46.5|15|50|3|False|False|False|False|False|False|False
289|289|Slaking|150|160|100|95|65|100|670|111.67|Truant|||Normal||Kekkingケッキング|45.0|70.0|50|1250000.0|Lazy Pokémon|2.0|130.5|15|50|3|False|False|False|False|False|False|False
290|290|Nincada|31|45|90|30|30|40|266|44.33|Compound Eyes||Run Away|Bug|Ground|Tutininツチニン|255.0|70.0|50|600000.0|Trainee Pokémon|0.5|5.5|15|50|3|False|False|False|False|False|False|False
291|291|Ninjask|61|90|45|50|50|160|456|76.0|Speed Boost||Infiltrator|Bug|Flying|Tekkaninテッカニン|120.0|70.0|50|600000.0|Ninja Pokémon|0.8|12.0|15|50|3|False|False|False|False|False|False|False
292|292|Shedinja|1|90|45|30|30|40|236|39.33|Wonder Guard|||Bug|Ghost|Nukeninヌケニン|45.0|70.0|50|600000.0|Shed Pokémon|0.8|1.2|15||3|False|False|False|False|False|False|False
293|293|Whismur|64|51|23|51|23|28|240|40.0|Soundproof||Rattled|Normal||Gonyonyoゴニョニョ|190.0|70.0|50|1059860.0|Whisper Pokémon|0.6|16.3|20|50|3|False|False|False|False|False|False|False
294|294|Loudred|84|71|43|71|43|48|360|60.0|Soundproof||Scrappy|Normal||Dogohmbドゴーム|120.0|70.0|50|1059860.0|Big Voice Pokémon|1.0|40.5|20|50|3|False|False|False|False|False|False|False
295|295|Exploud|104|91|63|91|73|68|490|81.67|Soundproof||Scrappy|Normal||Bakuongバクオング|45.0|70.0|50|1059860.0|Loud Noise Pokémon|1.5|84.0|20|50|3|False|False|False|False|False|False|False
296|296|Makuhita|72|60|30|20|30|25|237|39.5|Thick Fat|Guts|Sheer Force|Fighting||Makunoshitaマクノシタ|180.0|70.0|50|1640000.0|Guts Pokémon|1.0|86.4|20|75.0|3|False|False|False|False|False|False|False
297|297|Hariyama|144|120|60|40|60|50|474|79.0|Thick Fat|Guts|Sheer Force|Fighting||Hariteyamaハリテヤマ|200.0|70.0|50|1640000.0|Arm Thrust Pokémon|2.3|253.8|20|75.0|3|False|False|False|False|False|False|False
298|298|Azurill|50|20|40|20|40|20|190|31.67|Thick Fat|Huge Power|Sap Sipper|Normal|Fairy|Ruririルリリ|150.0|70.0|50|800000.0|Polka Dot Pokémon|0.2|2.0|10|25.0|3|False|False|False|False|False|False|False
299|299|Nosepass|30|45|135|45|90|30|375|62.5|Sturdy|Magnet Pull|Sand Force|Rock||Nosepassノズパス|255.0|70.0|50|1000000.0|Compass Pokémon|1.0|97.0|20|50|3|False|False|False|False|False|False|False
300|300|Skitty|50|45|45|35|35|50|260|43.33|Cute Charm|Normalize|Wonder Skin|Normal||Enecoエネコ|255.0|70.0|50|800000.0|Kitten Pokémon|0.6|11.0|15|25.0|3|False|False|False|False|False|False|False
301|301|Delcatty|70|65|65|55|55|90|400|66.67|Cute Charm|Normalize|Wonder Skin|Normal||Enekororoエネコロロ|60.0|70.0|50|800000.0|Prim Pokémon|1.1|32.6|15|25.0|3|False|False|False|False|False|False|False
302|302|Sableye|50|75|75|65|65|50|380|63.33|Keen Eye|Stall|Prankster|Dark|Ghost|Yamiramiヤミラミ|45.0|35.0|35|1059860.0|Darkness Pokémon|0.5|11.0|25|50|3|False|False|False|False|False|False|False
302|302M|Sableye (Mega Sableye)|50|85|125|85|115|20|480|80.0|Magic Bounce|||Dark|Ghost|MegaYamiramiメガヤミラミ|45.0|35.0|35|1059860.0|Darkness Pokémon|0.5|161.0|25|50|3|False|False|False|False|False|True|False
303|303|Mawile|50|85|85|55|55|50|380|63.33|Hyper Cutter|Intimidate|Sheer Force|Steel|Fairy|Kucheatクチート|45.0|70.0|50|800000.0|Deceiver Pokémon|0.6|11.5|20|50|3|False|False|False|False|False|False|False
303|303M|Mawile (Mega Mawile)|50|105|125|55|95|50|480|80.0|Huge Power|||Steel|Fairy|MegaKucheatメガクチート|45.0|70.0|50|800000.0|Deceiver Pokémon|1.0|23.5|20|50|3|False|False|False|False|False|True|False
304|304|Aron|50|70|100|40|40|30|330|55.0|Sturdy|Rock Head|Heavy Metal|Steel|Rock|Cokodoraココドラ|180.0|35.0|35|1250000.0|Iron Armor Pokémon|0.4|60.0|35|50|3|False|False|False|False|False|False|False
305|305|Lairon|60|90|140|50|50|40|430|71.67|Sturdy|Rock Head|Heavy Metal|Steel|Rock|Kodoraコドラ|90.0|35.0|35|1250000.0|Iron Armor Pokémon|0.9|120.0|35|50|3|False|False|False|False|False|False|False
306|306|Aggron|70|110|180|60|60|50|530|88.33|Sturdy|Rock Head|Heavy Metal|Steel|Rock|Bossgodoraボスゴドラ|45.0|35.0|35|1250000.0|Iron Armor Pokémon|2.1|360.0|35|50|3|False|False|False|False|False|False|False
306|306M|Aggron (Mega Aggron)|70|140|230|60|80|50|630|105.0|Filter|||Steel||MegaBossgodoraメガボスゴドラ|45.0|35.0|35|1250000.0|Iron Armor Pokémon|2.2|395.0|35|50|3|False|False|False|False|False|True|False
307|307|Meditite|30|40|55|40|55|60|280|46.67|Pure Power||Telepathy|Fighting|Psychic|Asananアサナン|180.0|70.0|50|1000000.0|Meditate Pokémon|0.6|11.2|20|50|3|False|False|False|False|False|False|False
308|308|Medicham|60|60|75|60|75|80|410|68.33|Pure Power||Telepathy|Fighting|Psychic|Charemチャーレム|90.0|70.0|50|1000000.0|Meditate Pokémon|1.3|31.5|20|50|3|False|False|False|False|False|False|False
308|308M|Medicham (Mega Medicham)|60|100|85|80|85|100|510|85.0|Pure Power|||Fighting|Psychic|MegaCharemメガチャーレム|90.0|70.0|50|1000000.0|Meditate Pokémon|1.3|31.5|20|50|3|False|False|False|False|False|True|False
309|309|Electrike|40|45|40|65|40|65|295|49.17|Static|Lightning Rod|Minus|Electric||Rakuraiラクライ|120.0|70.0|50|1250000.0|Lightning Pokémon|0.6|15.2|20|50|3|False|False|False|False|False|False|False
310|310|Manectric|70|75|60|105|60|105|475|79.17|Static|Lightning Rod|Minus|Electric||Livoltライボルト|45.0|70.0|50|1250000.0|Discharge Pokémon|1.5|40.2|20|50|3|False|False|False|False|False|False|False
