pokedex_number|pokedex_number_form|name|hp|attack|defense|sp_attack|sp_defense|speed|base_total|base_average|ability_1|ability_2|hidden_ability|type_1|type_2|japanese_name|catch_rate|base_friendship_old|base_friendship|exp_100|category|height_m|weight_kg|hatch_cycles
115|115|Kangaskhan|105|95|80|40|80|90|490|81.67|Early Bird|Scrappy|Inner Focus|Normal||Garuraガルーラ|45|70|50|1000000|Parent Pokémon|2.2|80|20
115|115M|Kangaskhan (Mega Kangaskhan)|105|125|100|60|100|100|590|98.33|Parental Bond|||Normal||MegaGaruraメガガルーラ|45|70|50|1000000|Parent Pokémon|2.2|100|20
116|116|Horsea|30|40|70|70|25|60|295|49.17|Swift Swim|Sniper|Damp|Water||Tattuタッツー|225|70|50|1000000|Dragon Pokémon|0.4|8|20
117|117|Seadra|55|65|95|95|45|85|440|73.33|Poison Point|Sniper|Damp|Water||Seadraシードラ|75|70|50|1000000|Dragon Pokémon|1.2|25|20
118|118|Goldeen|45|67|60|35|50|63|320|53.33|Swift Swim|Water Veil|Lightning Rod|Water||Tosakintoトサキント|225|70|50|1000000|Goldfish Pokémon|0.6|15|20
119|119|Seaking|80|92|65|65|80|68|450|75|Swift Swim|Water Veil|Lightning Rod|Water||Azumaoアズマオウ|60|70|50|1000000|Goldfish Pokémon|1.3|39|20
120|120|Staryu|30|45|55|70|55|85|340|56.67|Illuminate|Natural Cure|Analytic|Water||Hitodemanヒトデマン|225|70|50|1250000|Star Shape Pokémon|0.8|34.5|20
121|121|Starmie|60|75|85|100|85|115|520|86.67|Illuminate|Natural Cure|Analytic|Water|Psychic|Starmieスターミー|60|70|50|1250000|Mysterious Pokémon|1.1|80|20
122|122|Mr. Mime|40|45|65|100|120|90|460|76.67|Soundproof|Filter|Technician|Psychic|Fairy|Barrierdバリヤード|45|70|50|1000000|Barrier Pokémon|1.3|54.5|25
122|122G|Mr. Mime (Galarian Mr. Mime)|50|65|65|90|90|100|460|76.67|Vital Spirit|Screen Cleaner|Ice Body|Ice|Psychic|Barrierdバリヤード|45|70|50|1000000|Dancing Pokémon|1.4|56.8|25
123|123|Scyther|70|110|80|55|80|105|500|83.33|Swarm|Technician|Steadfast|Bug|Flying|Strikeストライク|45|70|50|1000000|Mantis Pokémon|1.5|56|25
124|124|Jynx|65|50|35|115|95|95|455|75.83|Oblivious|Forewarn|Dry Skin|Ice|Psychic|Rougelaルージュラ|45|70|50|1000000|Human Shape Pokémon|1.4|40.6|25
125|125|Electabuzz|65|83|57|95|85|105|490|81.67|Static||Vital Spirit|Electric||Elebooエレブー|45|70|50|1000000|Electric Pokémon|1.1|30|25
126|126|Magmar|65|95|57|100|85|93|495|82.5|Flame Body||Vital Spirit|Fire||Booberブーバー|45|70|50|1000000|Spitfire Pokémon|1.3|44.5|25
127|127|Pinsir|65|125|100|55|70|85|500|83.33|Hyper Cutter|Mold Breaker|Moxie|Bug||Kailiosカイロス|45|70|50|1250000|Stag Beetle Pokémon|1.5|55|25
127|127M|Pinsir (Mega Pinsir)|65|155|120|65|90|105|600|100|Aerilate|||Bug|Flying|MegaKailiosメガカイロス|45|70|50|1250000|Stag Beetle Pokémon|1.7|59|25
128|128|Tauros|75|100|95|40|70|110|490|81.67|Intimidate|Anger Point|Sheer Force|Normal||Kentaurosケンタロス|45|70|50|1250000|Wild Bull Pokémon|1.4|88.4|20
129|129|Magikarp|20|10|55|15|20|80|200|33.33|Swift Swim||Rattled|Water||Koikingコイキング|255|70|50|1250000|Fish Pokémon|0.9|10|5
130|130|Gyarados|95|125|79|60|100|81|540|90|Intimidate||Moxie|Water|Flying|Gyaradosギャラドス|45|70|50|1250000|Atrocious Pokémon|6.5|235|5
130|130M|Gyarados (Mega Gyarados)|95|155|109|70|130|81|640|106.67|Mold Breaker|||Water|Dark|MegaGyaradosメガギャラドス|45|70|50|1250000|Atrocious Pokémon|6.5|305|5
131|131|Lapras|130|85|80|85|95|60|535|89.17|Water Absorb|Shell Armor|Hydration|Water|Ice|Laplaceラプラス|45|70|50|1250000|Transport Pokémon|2.5|220|40
132|132|Ditto|48|48|48|48|48|48|288|48|Limber||Imposter|Normal||Metamonメタモン|35|70|50|1000000|Transform Pokémon|0.3|4|20
133|133|Eevee|55|55|50|45|65|55|325|54.17|Run Away|Adaptability|Anticipation|Normal||Eievuiイーブイ|45|70|50|1000000|Evolution Pokémon|0.3|6.5|35
133|133Pa|Eevee (Partner Eevee)|65|75|70|65|85|75|435|72.5|Run Away|Adaptability|Anticipation|Normal||Eievuiイーブイ|255|70|50|1000000|Evolution Pokémon|0.3|6.5|35
134|134|Vaporeon|130|65|60|110|95|65|525|87.5|Water Absorb||Hydration|Water||Showersシャワーズ|45|70|50|1000000|Bubble Jet Pokémon|1|29|35
135|135|Jolteon|65|65|60|110|95|130|525|87.5|Volt Absorb||Quick Feet|Electric||Thundersサンダース|45|70|50|1000000|Lightning Pokémon|0.8|24.5|35
136|136|Flareon|65|130|60|95|110|65|525|87.5|Flash Fire||Guts|Fire||Boosterブースター|45|70|50|1000000|Flame Pokémon|0.9|25|35
137|137|Porygon|65|60|70|85|75|40|395|65.83|Trace|Download|Analytic|Normal||Porygonポリゴン|45|70|50|1000000|Virtual Pokémon|0.8|36.5|20
138|138|Omanyte|35|40|100|90|55|35|355|59.17|Swift Swim|Shell Armor|Weak Armor|Rock|Water|Omniteオムナイト|45|70|50|1000000|Spiral Pokémon|0.4|7.5|30
139|139|Omastar|70|60|125|115|70|55|495|82.5|Swift Swim|Shell Armor|Weak Armor|Rock|Water|Omstarオムスター|45|70|50|1000000|Spiral Pokémon|1|35|30
140|140|Kabuto|30|80|90|55|45|55|355|59.17|Swift Swim|Battle Armor|Weak Armor|Rock|Water|Kabutoカブト|45|70|50|1000000|Shellfish Pokémon|0.5|11.5|30
141|141|Kabutops|60|115|105|65|70|80|495|82.5|Swift Swim|Battle Armor|Weak Armor|Rock|Water|Kabutopsカブトプス|45|70|50|1000000|Shellfish Pokémon|1.3|40.5|30
142|142|Aerodactyl|80|105|65|60|75|130|515|85.83|Rock Head|Pressure|Unnerve|Rock|Flying|Pteraプテラ|45|70|50|1250000|Fossil Pokémon|1.8|59|35
142|142M|Aerodactyl (Mega Aerodactyl)|80|135|85|70|95|150|615|102.5|Tough Claws|||Rock|Flying|MegaPteraメガプテラ|45|70|50|1250000|Fossil Pokémon|2.1|79|35
143|143|Snorlax|160|110|65|65|110|30|540|90|Immunity|Thick Fat|Gluttony|Normal||Kabigonカビゴン|25|70|50|1250000|Sleeping Pokémon|2.1|460|40
144|144|Articuno|90|85|100|95|125|85|580|96.67|Pressure||Snow Cloak|Ice|Flying|Freezerフリーザー|3|35|35|1250000|Freeze Pokémon|1.7|55.4|80
144|144G|Articuno (Galarian Articuno)|90|85|85|125|100|95|580|96.67|Competitive|||Psychic|Flying|Freezerフリーザー|3|35|35|1250000|Cruel Pokémon|1.7|50.9|80
145|145|Zapdos|90|90|85|125|90|100|580|96.67|Pressure||Static|Electric|Flying|Thunderサンダー|3|35|35|1250000|Electric Pokémon|1.6|52.6|80
145|145G|Zapdos (Galarian Zapdos)|90|125|90|85|90|100|580|96.67|Defiant|||Fighting|Flying|Thunderサンダー|3|35|35|1250000|Strong Legs Pokémon|1.6|58.2|80
146|146|Moltres|90|100|90|125|85|90|580|96.67|Pressure||Flame Body|Fire|Flying|Fireファイヤー|3|35|35|1250000|Flame Pokémon|2|60|80
146|146G|Moltres (Galarian Moltres)|90|85|90|100|125|90|580|96.67|Berserk|||Dark|Flying|Fireファイヤー|3|35|35|1250000|Malevolent Pokémon|2|66|80
147|147|Dratini|41|64|45|50|50|50|300|50|Shed Skin||Marvel Scale|Dragon||Miniryuミニリュウ|45|35|35|1250000|Dragon Pokémon|1.8|3.3|40
148|148|Dragonair|61|84|65|70|70|70|420|70|Shed Skin||Marvel Scale|Dragon||Hakuryuハクリュー|45|35|35|1250000|Dragon Pokémon|4|16.5|40
149|149|Dragonite|91|134|95|100|100|80|600|100|Inner Focus||Multiscale|Dragon|Flying|Kairyuカイリュー|45|35|35|1250000|Dragon Pokémon|2.2|210|40
150|150|Mewtwo|106|110|90|154|90|130|680|113.33|Pressure||Unnerve|Psychic||Mewtwoミュウツー|3|0|0|1250000|Genetic Pokémon|2|122|120
150|150MX|Mewtwo (Mega Mewtwo X)|106|190|100|154|100|130|780|130|Steadfast|||Psychic|Fighting|MegaMewtwo XメガミュウツーX|3|0|0|1250000|Genetic Pokémon|2.3|127|120
150|150MY|Mewtwo (Mega Mewtwo Y)|106|150|70|194|120|140|780|130|Insomnia|||Psychic||MegaMewtwo YメガミュウツーY|3|0|0|1250000|Genetic Pokémon|1.5|33|120
151|151|Mew|100|100|100|100|100|100|600|100|Synchronize|||Psychic||Mewミュウ|45|100|100|1059860|New Species Pokémon|0.4|4|120
152|152|Chikorita|45|49|65|49|65|45|318|53|Overgrow||Leaf Guard|Grass||Chicoritaチコリータ|45|70|50|1059860|Leaf Pokémon|0.9|6.4|20
153|153|Bayleef|60|62|80|63|80|60|405|67.5|Overgrow||Leaf Guard|Grass||Bayleafベイリーフ|45|70|50|1059860|Leaf Pokémon|1.2|15.8|20
154|154|Meganium|80|82|100|83|100|80|525|87.5|Overgrow||Leaf Guard|Grass||Meganiumメガニウム|45|70|50|1059860|Herb Pokémon|1.8|100.5|20
155|155|Cyndaquil|39|52|43|60|50|65|309|51.5|Blaze||Flash Fire|Fire||Hinoarashiヒノアラシ|45|70|50|1059860|Fire Mouse Pokémon|0.5|7.9|20
156|156|Quilava|58|64|58|80|65|80|405|67.5|Blaze||Flash Fire|Fire||Magmarashiマグマラシ|45|70|50|1059860|Volcano Pokémon|0.9|19|20
157|157|Typhlosion|78|84|78|109|85|100|534|89|Blaze||Flash Fire|Fire||Bakphoonバクフーン|45|70|50|1059860|Volcano Pokémon|1.7|79.5|20
158|158|Totodile|50|65|64|44|48|43|314|52.33|Torrent||Sheer Force|Water||Waninokoワニノコ|45|70|50|1059860|Big Jaw Pokémon|0.6|9.5|20
159|159|Croconaw|65|80|80|59|63|58|405|67.5|Torrent||Sheer Force|Water||Alligatesアリゲイツ|45|70|50|1059860|Big Jaw Pokémon|1.1|25|20
160|160|Feraligatr|85|105|100|79|83|78|530|88.33|Torrent||Sheer Force|Water||Ordileオーダイル|45|70|50|1059860|Big Jaw Pokémon|2.3|88.8|20
161|161|Sentret|35|46|34|35|45|20|215|35.83|Run Away|Keen Eye|Frisk|Normal||Otachiオタチ|255|70|50|1000000|Scout Pokémon|0.8|6|15
162|162|Furret|85|76|64|45|55|90|415|69.17|Run Away|Keen Eye|Frisk|Normal||Ootachiオオタチ|90|70|50|1000000|Long Body Pokémon|1.8|32.5|15
163|163|Hoothoot|60|30|30|36|56|50|262|43.67|Insomnia|Keen Eye|Tinted Lens|Normal|Flying|Hohoホーホー|255|70|50|1000000|Owl Pokémon|0.7|21.2|15
164|164|Noctowl|100|50|50|86|96|70|452|75.33|Insomnia|Keen Eye|Tinted Lens|Normal|Flying|Yorunozukuヨルノズク|90|70|50|1000000|Owl Pokémon|1.6|40.8|15
165|165|Ledyba|40|20|30|40|80|55|265|44.17|Swarm|Early Bird|Rattled|Bug|Flying|Redibaレディバ|255|70|50|800000|Five Star Pokémon|1|10.8|15
166|166|Ledian|55|35|50|55|110|85|390|65|Swarm|Early Bird|Iron Fist|Bug|Flying|Redianレディアン|90|70|50|800000|Five Star Pokémon|1.4|35.6|15
167|167|Spinarak|40|60|40|40|40|30|250|41.67|Swarm|Insomnia|Sniper|Bug|Poison|Itomaruイトマル|255|70|50|800000|String Spit Pokémon|0.5|8.5|15
168|168|Ariados|70|90|70|60|70|40|400|66.67|Swarm|Insomnia|Sniper|Bug|Poison|Ariadosアリアドス|90|70|50|800000|Long Leg Pokémon|1.1|33.5|15
169|169|Crobat|85|90|80|70|80|130|535|89.17|Inner Focus||Infiltrator|Poison|Flying|Crobatクロバット|90|70|50|1000000|Bat Pokémon|1.8|75|15
170|170|Chinchou|75|38|38|56|56|67|330|55|Volt Absorb|Illuminate|Water Absorb|Water|Electric|Chonchieチョンチー|190|70|50|1250000|Angler Pokémon|0.5|12|20
171|171|Lanturn|125|58|58|76|76|67|460|76.67|Volt Absorb|Illuminate|Water Absorb|Water|Electric|Lanternランターン|75|70|50|1250000|Light Pokémon|1.2|22.5|20
172|172|Pichu|20|40|15|35|35|60|205|34.17|Static||Lightning Rod|Electric||Pichuピチュー|190|70|50|1000000|Tiny Mouse Pokémon|0.3|2|10
173|173|Cleffa|50|25|28|45|55|15|218|36.33|Cute Charm|Magic Guard|Friend Guard|Fairy||Pyピィ|150|140|140|800000|Star Shape Pokémon|0.3|3|10
174|174|Igglybuff|90|30|15|40|20|15|210|35|Cute Charm|Competitive|Friend Guard|Normal|Fairy|Pupurinププリン|170|70|50|800000|Balloon Pokémon|0.3|1|10
175|175|Togepi|35|20|65|40|65|20|245|40.83|Hustle|Serene Grace|Super Luck|Fairy||Togepyトゲピー|190|70|50|800000|Spike Ball Pokémon|0.3|1.5|10
176|176|Togetic|55|40|85|80|105|40|405|67.5|Hustle|Serene Grace|Super Luck|Fairy|Flying|Togechickトゲチック|75|70|50|800000|Happiness Pokémon|0.6|3.2|10
177|177|Natu|40|50|45|70|45|70|320|53.33|Synchronize|Early Bird|Magic Bounce|Psychic|Flying|Natyネイティ|190|70|50|1000000|Tiny Bird Pokémon|0.2|2|20
178|178|Xatu|65|75|70|95|70|95|470|78.33|Synchronize|Early Bird|Magic Bounce|Psychic|Flying|Natioネイティオ|75|70|50|1000000|Mystic Pokémon|1.5|15|20
179|179|Mareep|55|40|40|65|45|35|280|46.67|Static||Plus|Electric||Merriepメリープ|235|70|50|1059860|Wool Pokémon|0.6|7.8|20
180|180|Flaaffy|70|55|55|80|60|45|365|60.83|Static||Plus|Electric||Mokokoモココ|120|70|50|1059860|Wool Pokémon|0.8|13.3|20
181|181|Ampharos|90|75|85|115|90|55|510|85|Static||Plus|Electric||Denryuデンリュウ|45|70|50|1059860|Light Pokémon|1.4|61.5|20
181|181M|Ampharos (Mega Ampharos)|90|95|105|165|110|45|610|101.67|Mold Breaker|||Electric|Dragon|MegaDenryuメガデンリュウ|45|70|50|1059860|Light Pokémon|1.4|61.5|20
182|182|Bellossom|75|80|95|90|100|50|490|81.67|Chlorophyll||Healer|Grass||Kireihanaキレイハナ|45|70|50|1059860|Flower Pokémon|0.4|5.8|20
183|183|Marill|70|20|50|20|50|40|250|41.67|Thick Fat|Huge Power|Sap Sipper|Water|Fairy|Marilマリル|190|70|50|800000|Aqua Mouse Pokémon|0.4|8.5|10
184|184|Azumarill|100|50|80|60|80|50|420|70|Thick Fat|Huge Power|Sap Sipper|Water|Fairy|Marilliマリルリ|75|70|50|800000|Aqua Rabbit Pokémon|0.8|28.5|10
185|185|Sudowoodo|70|100|115|30|65|30|410|68.33|Sturdy|Rock Head|Rattled|Rock||Usokkieウソッキー|65|70|50|1000000|Imitation Pokémon|1.2|38|20
186|186|Politoed|90|75|75|90|100|70|500|83.33|Water Absorb|Damp|Drizzle|Water||Nyorotonoニョロトノ|45|70|50|1059860|Frog Pokémon|1.1|33.9|20
187|187|Hoppip|35|35|40|35|55|50|250|41.67|Chlorophyll|Leaf Guard|Infiltrator|Grass|Flying|Haneccoハネッコ|255|70|50|1059860|Cottonweed Pokémon|0.4|0.5|20
188|188|Skiploom|55|45|50|45|65|80|340|56.67|Chlorophyll|Leaf Guard|Infiltrator|Grass|Flying|Popoccoポポッコ|120|70|50|1059860|Cottonweed Pokémon|0.6|1|20
189|189|Jumpluff|75|55|70|55|95|110|460|76.67|Chlorophyll|Leaf Guard|Infiltrator|Grass|Flying|Wataccoワタッコ|45|70|50|1059860|Cottonweed Pokémon|0.8|3|20
190|190|Aipom|55|70|55|40|55|85|360|60|Run Away|Pickup|Skill Link|Normal||Eipamエイパム|45|70|50|800000|Long Tail Pokémon|0.8|11.5|20
191|191|Sunkern|30|30|30|30|30|30|180|30|Chlorophyll|Solar Power|Early Bird|Grass||Himanutsヒマナッツ|235|70|50|1059860|Seed Pokémon|0.3|1.8|20
192|192|Sunflora|75|75|55|105|85|30|425|70.83|Chlorophyll|Solar Power|Early Bird|Grass||Kimawariキマワリ|120|70|50|1059860|Sun Pokémon|0.8|8.5|20
193|193|Yanma|65|65|45|75|45|95|390|65|Speed Boost|Compound Eyes|Frisk|Bug|Flying|Yanyanmaヤンヤンマ|75|70|50|1000000|Clear Wing Pokémon|1.2|38|20
194|194|Wooper|55|45|45|25|25|15|210|35|Damp|Water Absorb|Unaware|Water|Ground|Upahウパー|255|70|50|1000000|Water Fish Pokémon|0.4|8.5|20
195|195|Quagsire|95|85|85|65|65|35|430|71.67|Damp|Water Absorb|Unaware|Water|Ground|Nuohヌオー|90|70|50|1000000|Water Fish Pokémon|1.4|75|20
196|196|Espeon|65|65|60|130|95|110|525|87.5|Synchronize||Magic Bounce|Psychic||Eifieエーフィ|45|70|50|1000000|Sun Pokémon|0.9|26.5|35
197|197|Umbreon|95|65|110|60|130|65|525|87.5|Synchronize||Inner Focus|Dark||Blackyブラッキー|45|35|35|1000000|Moonlight Pokémon|1|27|35
198|198|Murkrow|60|85|42|85|42|91|405|67.5|Insomnia|Super Luck|Prankster|Dark|Flying|Yamikarasuヤミカラス|30|35|35|1059860|Darkness Pokémon|0.5|2.1|20
199|199|Slowking|95|75|80|100|110|30|490|81.67|Oblivious|Own Tempo|Regenerator|Water|Psychic|Yadokingヤドキング|70|70|50|1000000|Royal Pokémon|2|79.5|20
199|199G|Slowking (Galarian Slowking)|95|65|80|110|110|30|490|81.67|Curious Medicine|Own Tempo|Regenerator|Poison|Psychic|Yadokingヤドキング|70|70|50|1000000|Hexpert Pokémon|1.8|79.5|20
200|200|Misdreavus|60|60|60|85|85|85|435|72.5|Levitate|||Ghost||Mumaムウマ|45|35|35|800000|Screech Pokémon|0.7|1|25
201|201|Unown|48|72|48|72|48|48|336|56|Levitate|||Psychic||Unknownアンノーン|225|70|50|1000000|Symbol Pokémon|0.5|5|40
202|202|Wobbuffet|190|33|58|33|58|33|405|67.5|Shadow Tag||Telepathy|Psychic||Sonansソーナンス|45|70|50|1000000|Patient Pokémon|1.3|28.5|20
203|203|Girafarig|70|80|65|90|65|85|455|75.83|Inner Focus|Early Bird|Sap Sipper|Normal|Psychic|Kirinrikiキリンリキ|60|70|50|1000000|Long Neck Pokémon|1.5|41.5|20
204|204|Pineco|50|65|90|35|35|15|290|48.33|Sturdy||Overcoat|Bug||Kunugidamaクヌギダマ|190|70|50|1000000|Bagworm Pokémon|0.6|7.2|20
205|205|Forretress|75|90|140|60|60|40|465|77.5|Sturdy||Overcoat|Bug|Steel|Foretosフォレトス|75|70|50|1000000|Bagworm Pokémon|1.2|125.8|20
206|206|Dunsparce|100|70|70|65|65|45|415|69.17|Serene Grace|Run Away|Rattled|Normal||Nokocchiノコッチ|190|70|50|1000000|Land Snake Pokémon|1.5|14|20
207|207|Gligar|65|75|105|35|65|85|430|71.67|Hyper Cutter|Sand Veil|Immunity|Ground|Flying|Gligerグライガー|60|70|50|1059860|Fly Scorpion Pokémon|1.1|64.8|20
208|208|Steelix|75|85|200|55|65|30|510|85|Rock Head|Sturdy|Sheer Force|Steel|Ground|Haganeilハガネール|25|70|50|1000000|Iron Snake Pokémon|9.2|400|25
208|208M|Steelix (Mega Steelix)|75|125|230|55|95|30|610|101.67|Sand Force|||Steel|Ground|MegaHaganeilメガハガネール|25|70|50|1000000|Iron Snake Pokémon|10.5|740|25
209|209|Snubbull|60|80|50|40|40|30|300|50|Intimidate|Run Away|Rattled|Fairy||Buluブルー|190|70|50|800000|Fairy Pokémon|0.6|7.8|20
210|210|Granbull|90|120|75|60|60|45|450|75|Intimidate|Quick Feet|Rattled|Fairy||Granbuluグランブル|75|70|50|800000|Fairy Pokémon|1.4|48.7|20
211|211|Qwilfish|65|95|85|55|55|85|440|73.33|Poison Point|Swift Swim|Intimidate|Water|Poison|Harysenハリーセン|45|70|50|1000000|Balloon Pokémon|0.5|3.9|20
212|212|Scizor|70|130|100|55|80|65|500|83.33|Swarm|Technician|Light Metal|Bug|Steel|Hassamハッサム|25|70|50|1000000|Pincer Pokémon|1.8|118|25
212|212M|Scizor (Mega Scizor)|70|150|140|65|100|75|600|100|Technician|||Bug|Steel|MegaHassamメガハッサム|25|70|50|1000000|Pincer Pokémon|2|125|25
213|213|Shuckle|20|10|230|10|230|5|505|84.17|Sturdy|Gluttony|Contrary|Bug|Rock|Tsubotsuboツボツボ|190|70|50|1059860|Mold Pokémon|0.6|20.5|20
214|214|Heracross|80|125|75|40|95|85|500|83.33|Swarm|Guts|Moxie|Bug|Fighting|Heracrosヘラクロス|45|70|50|1250000|Single Horn Pokémon|1.5|54|25
214|214M|Heracross (Mega Heracross)|80|185|115|40|105|75|600|100|Skill Link|||Bug|Fighting|MegaHeracrosメガヘラクロス|45|70|50|1250000|Single Horn Pokémon|1.7|62.5|25
215|215|Sneasel|55|95|55|35|75|115|430|71.67|Inner Focus|Keen Eye|Pickpocket|Dark|Ice|Nyulaニューラ|60|35|35|1059860|Sharp Claw Pokémon|0.9|28|20
216|216|Teddiursa|60|80|50|50|50|40|330|55|Pickup|Quick Feet|Honey Gather|Normal||Himegumaヒメグマ|120|70|50|1000000|Little Bear Pokémon|0.6|8.8|20
217|217|Ursaring|90|130|75|75|75|55|500|83.33|Guts|Quick Feet|Unnerve|Normal||Ringumaリングマ|60|70|50|1000000|Hibernator Pokémon|1.8|125.8|20
218|218|Slugma|40|40|40|70|40|20|250|41.67|Magma Armor|Flame Body|Weak Armor|Fire||Magmagマグマッグ|190|70|50|1000000|Lava Pokémon|0.7|35|20
219|219|Magcargo|60|50|120|90|80|30|430|71.67|Magma Armor|Flame Body|Weak Armor|Fire|Rock|Magcargotマグカルゴ|75|70|50|1000000|Lava Pokémon|0.8|55|20
220|220|Swinub|50|50|40|30|30|50|250|41.67|Oblivious|Snow Cloak|Thick Fat|Ice|Ground|Urimooウリムー|225|70|50|1250000|Pig Pokémon|0.4|6.5|20
221|221|Piloswine|100|100|80|60|60|50|450|75|Oblivious|Snow Cloak|Thick Fat|Ice|Ground|Inomooイノムー|75|70|50|1250000|Swine Pokémon|1.1|55.8|20
222|222|Corsola|65|55|95|65|95|35|410|68.33|Hustle|Natural Cure|Regenerator|Water|Rock|Sunnygoサニーゴ|60|70|50|800000|Coral Pokémon|0.6|5|20
222|222G|Corsola (Galarian Corsola)|60|55|100|65|100|30|410|68.33|Weak Armor||Cursed Body|Ghost||Sunnygoサニーゴ|60|70|50|800000|Coral Pokémon|0.6|0.5|20
223|223|Remoraid|35|65|35|65|35|65|300|50|Hustle|Sniper|Moody|Water||Teppouoテッポウオ|190|70|50|1000000|Jet Pokémon|0.6|12|20
224|224|Octillery|75|105|75|105|75|45|480|80|Suction Cups|Sniper|Moody|Water||Okutankオクタン|75|70|50|1000000|Jet Pokémon|0.9|28.5|20
225|225|Delibird|45|55|45|65|45|75|330|55|Vital Spirit|Hustle|Insomnia|Ice|Flying|Delibirdデリバード|45|70|50|800000|Delivery Pokémon|0.9|16|20
226|226|Mantine|85|40|70|80|140|70|485|80.83|Swift Swim|Water Absorb|Water Veil|Water|Flying|Mantainマンタイン|25|70|50|1250000|Kite Pokémon|2.1|220|25
227|227|Skarmory|65|80|140|40|70|70|465|77.5|Keen Eye|Sturdy|Weak Armor|Steel|Flying|Airmdエアームド|25|70|50|1250000|Armor Bird Pokémon|1.7|50.5|25
228|228|Houndour|45|60|30|80|50|65|330|55|Early Bird|Flash Fire|Unnerve|Dark|Fire|Delvilデルビル|120|35|35|1250000|Dark Pokémon|0.6|10.8|20
229|229|Houndoom|75|90|50|110|80|95|500|83.33|Early Bird|Flash Fire|Unnerve|Dark|Fire|Hellgarヘルガー|45|35|35|1250000|Dark Pokémon|1.4|35|20
229|229M|Houndoom (Mega Houndoom)|75|90|90|140|90|115|600|100|Solar Power|||Dark|Fire|MegaHellgarメガヘルガー |45|35|35|1250000|Dark Pokémon|1.9|49.5|20
230|230|Kingdra|75|95|95|95|95|85|540|90|Swift Swim|Sniper|Damp|Water|Dragon|Kingdraキングドラ|45|70|50|1000000|Dragon Pokémon|1.8|152|20
231|231|Phanpy|90|60|60|40|40|40|330|55|Pickup||Sand Veil|Ground||Gomazouゴマゾウ|120|70|50|1000000|Long Nose Pokémon|0.5|33.5|20
232|232|Donphan|90|120|120|60|60|50|500|83.33|Sturdy||Sand Veil|Ground||Donfanドンファン|60|70|50|1000000|Armor Pokémon|1.1|120|20
233|233|Porygon2|85|80|90|105|95|60|515|85.83|Trace|Download|Analytic|Normal||Porygon2ポリゴン２|45|70|50|1000000|Virtual Pokémon|0.6|32.5|20
234|234|Stantler|73|95|62|85|65|85|465|77.5|Intimidate|Frisk|Sap Sipper|Normal||Odoshishiオドシシ|45|70|50|1250000|Big Horn Pokémon|1.4|71.2|20
235|235|Smeargle|55|20|35|20|45|75|250|41.67|Own Tempo|Technician|Moody|Normal||Dobleドーブル|45|70|50|800000|Painter Pokémon|1.2|58|20
236|236|Tyrogue|35|35|35|35|35|35|210|35|Guts|Steadfast|Vital Spirit|Fighting||Balkieバルキー|75|70|50|1000000|Scuffle Pokémon|0.7|21|25
237|237|Hitmontop|50|95|95|35|110|70|455|75.83|Intimidate|Technician|Steadfast|Fighting||Kapoererカポエラー|45|70|50|1000000|Handstand Pokémon|1.4|48|25
238|238|Smoochum|45|30|15|85|65|65|305|50.83|Oblivious|Forewarn|Hydration|Ice|Psychic|Muchulムチュール|45|70|50|1000000|Kiss Pokémon|0.4|6|25
239|239|Elekid|45|63|37|65|55|95|360|60|Static||Vital Spirit|Electric||Elekidエレキッド|45|70|50|1000000|Electric Pokémon|0.6|23.5|25
240|240|Magby|45|75|37|70|55|83|365|60.83|Flame Body||Vital Spirit|Fire||Bubyブビィ|45|70|50|1000000|Live Coal Pokémon|0.7|21.4|25
241|241|Miltank|95|80|105|40|70|100|490|81.67|Thick Fat|Scrappy|Sap Sipper|Normal||Miltankミルタンク|45|70|50|1250000|Milk Cow Pokémon|1.2|75.5|20
242|242|Blissey|255|10|10|75|135|55|540|90|Natural Cure|Serene Grace|Healer|Normal||Happinasハピナス|30|140|140|800000|Happiness Pokémon|1.5|46.8|40
243|243|Raikou|90|85|75|115|100|115|580|96.67|Pressure||Inner Focus|Electric||Raikouライコウ|3|35|35|1250000|Thunder Pokémon|1.9|178|80
244|244|Entei|115|115|85|90|75|100|580|96.67|Pressure||Inner Focus|Fire||Enteiエンテイ|3|35|35|1250000|Volcano Pokémon|2.1|198|80
245|245|Suicune|100|75|115|90|115|85|580|96.67|Pressure||Inner Focus|Water||Suicuneスイクン|3|35|35|1250000|Aurora Pokémon|2|187|80
246|246|Larvitar|50|64|50|45|50|41|300|50|Guts||Sand Veil|Rock|Ground|Yogirasヨーギラス|45|35|35|1250000|Rock Skin Pokémon|0.6|72|40
247|247|Pupitar|70|84|70|65|70|51|410|68.33|Shed Skin|||Rock|Ground|Sanagirasサナギラス|45|35|35|1250000|Hard Shell Pokémon|1.2|152|40
248|248|Tyranitar|100|134|110|95|100|61|600|100|Sand Stream||Unnerve|Rock|Dark|Bangirasバンギラス|45|35|35|1250000|Armor Pokémon|2|202|40
248|248M|Tyranitar (Mega Tyranitar)|100|164|150|95|120|71|700|116.67|Sand Stream|||Rock|Dark|MegaBangirasメガバンギラス|45|35|35|1250000|Armor Pokémon|2.5|255|40
249|249|Lugia|106|90|130|90|154|110|680|113.33|Pressure||Multiscale|Psychic|Flying|Lugiaルギア|3|0|0|1250000|Diving Pokémon|5.2|216|120
